chi,elevation,flow distance,drainage area
11.841,1168,78222,6.74E+07
11.82,1168,78151,6.75E+07
11.799,1168,78081,6.75E+07
11.777,1168,78010,6.76E+07
11.756,1168,77939,6.77E+07
11.735,1168,77868,6.77E+07
11.714,1168,77798,6.78E+07
11.693,1168,77727,6.78E+07
11.671,1168,77656,7.15E+07
11.651,1168,77586,7.15E+07
11.63,1165,77515,7.15E+07
11.616,1161,77465,7.16E+07
11.595,1159,77394,7.16E+07
11.58,1157.1,77344,7.16E+07
11.566,1157.1,77294,7.18E+07
11.545,1157.1,77224,7.19E+07
11.525,1157.1,77153,7.19E+07
11.504,1157,77082,7.20E+07
11.489,1157,77032,7.20E+07
11.469,1157,76961,7.20E+07
11.448,1157,76891,7.21E+07
11.428,1157,76820,7.21E+07
11.407,1157,76749,7.22E+07
11.386,1157,76679,7.23E+07
11.366,1157,76608,7.23E+07
11.345,1157,76537,7.25E+07
11.325,1157,76466,7.25E+07
11.304,1157,76396,7.26E+07
11.284,1157,76325,7.26E+07
11.269,1157,76275,7.26E+07
11.249,1157,76204,7.27E+07
11.228,1142.1,76134,7.27E+07
11.214,1142.1,76084,7.28E+07
11.193,1142.1,76013,7.28E+07
11.173,1142.1,75942,7.32E+07
11.152,1142.1,75871,7.33E+07
11.132,1142.1,75801,7.33E+07
11.111,1142.1,75730,7.34E+07
11.091,1142.1,75659,7.34E+07
11.071,1142,75589,7.35E+07
11.05,1142,75518,7.36E+07
11.03,1142,75447,7.37E+07
11.015,1142,75397,7.37E+07
10.995,1142,75326,7.37E+07
10.975,1142,75256,7.39E+07
10.954,1142,75185,7.39E+07
10.934,1142,75114,7.39E+07
10.914,1142,75044,7.40E+07
10.893,1142,74973,7.57E+07
10.873,1142,74902,7.57E+07
10.853,1142,74831,7.57E+07
10.833,1142,74761,7.59E+07
10.813,1142,74690,7.59E+07
10.799,1129,74640,7.59E+07
10.784,1125,74590,7.60E+07
10.77,1122,74540,7.60E+07
10.75,1122,74469,7.61E+07
10.73,1122,74399,7.63E+07
10.71,1122,74328,7.63E+07
10.696,1122,74278,7.63E+07
10.682,1122,74228,7.64E+07
10.667,1120,74178,7.64E+07
10.653,1116,74128,7.64E+07
10.639,1116,74078,7.64E+07
10.619,1116,74007,7.64E+07
10.599,1116,73936,7.66E+07
10.579,1116,73866,1.21E+08
10.563,1116,73795,1.21E+08
10.546,1116,73724,1.21E+08
10.53,1116,73654,1.21E+08
10.514,1116,73583,1.21E+08
